City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,arraial do cabo,-22.9661,-42.0278,28.98,65,40,4.12,BR,2023-04-01 15:48:55
236,guerrero negro,27.9769,-114.0611,16.12,65,2,4.51,MX,2023-04-01 15:48:55
237,kruisfontein,-34.0033,24.7314,23.82,61,2,3.94,ZA,2023-04-01 15:48:55
238,tessalit,20.1986,1.0114,33.9,4,0,5.57,ML,2023-04-01 15:48:55
239,thiadiaye,14.4205,-16.7056,37.45,14,0,2.65,SN,2023-04-01 15:48:56
240,ajdabiya,30.7554,20.2263,24.02,17,2,2.95,LY,2023-04-01 15:48:56
241,raahe,64.6833,24.4833,-0.95,93,41,2.33,FI,2023-04-01 15:48:56
242,storforshei,66.4043,14.5233,2.88,44,75,3.09,NO,2023-04-01 15:48:56
243,maltahohe,-24.8333,16.9833,27.86,10,0,8.37,NA,2023-04-01 15:48:56
244,hibbing,47.4272,-92.9377,-3.02,28,0,4.63,US,2023-04-01 15:48:56
245,lokoja,7.8024,6.743,38.94,22,53,0.72,NG,2023-04-01 15:48:57
246,jiangkou,25.4872,119.1986,15.62,89,5,1.58,CN,2023-04-01 15:48:57
247,ibia,-19.4783,-46.5389,29.39,53,100,1.86,BR,2023-04-01 15:45:03
248,dakar,14.6937,-17.4441,37.49,26,0,3.09,SN,2023-04-01 15:48:57
249,nome,64.5011,-165.4064,-3.96,100,100,6.69,US,2023-04-01 15:48:57
250,cabo san lucas,22.8909,-109.9124,23.06,69,40,1.03,MX,2023-04-01 15:45:05
251,sorland,67.667,12.6934,2.92,55,92,7.56,NO,2023-04-01 15:48:58
252,lata,40.1629,-8.3327,16.71,91,100,2.43,PT,2023-04-01 15:48:58
253,dhone,15.4167,77.8833,31.33,23,46,2.19,IN,2023-04-01 15:48:58
254,petropavlovsk-kamchatskiy,53.0452,158.6483,-3.67,74,0,3.0,RU,2023-04-01 15:48:58
255,khingansk,49.1167,131.1833,2.63,50,97,3.55,RU,2023-04-01 15:48:58
256,juba,4.8517,31.5825,31.05,36,85,1.95,SS,2023-04-01 15:48:59
257,maniitsoq,65.4167,-52.9,-6.34,54,44,0.66,GL,2023-04-01 15:48:59
258,alofi,-19.0595,-169.9187,24.94,88,16,4.12,NU,2023-04-01 15:48:59
259,awjilah,29.1081,21.2869,25.65,13,0,1.24,LY,2023-04-01 15:48:59
260,ilulissat,69.2167,-51.1,-11.99,61,0,1.54,GL,2023-04-01 15:48:59
261,opunake,-39.4556,173.8583,18.8,92,91,5.08,NZ,2023-04-01 15:49:00
262,brooks,50.5834,-111.8851,1.99,69,74,4.12,CA,2023-04-01 15:49:00
263,port hardy,50.6996,-127.4199,4.0,100,75,3.09,CA,2023-04-01 15:45:20
264,wucheng,29.6008,118.175,15.36,75,1,0.9,CN,2023-04-01 15:49:00
265,dwarka,22.2394,68.9678,25.31,73,31,5.84,IN,2023-04-01 15:49:00
266,washougal,45.5826,-122.3534,5.93,93,100,6.69,US,2023-04-01 15:49:01
267,orsha,54.5153,30.4053,6.31,98,100,3.5,BY,2023-04-01 15:49:01
268,kichera,55.9375,110.0997,-16.66,86,44,3.2,RU,2023-04-01 15:49:01
269,tateyama,34.9833,139.8667,15.07,79,67,5.7,JP,2023-04-01 15:49:01
270,hami,42.8,93.45,2.23,26,41,6.86,CN,2023-04-01 15:49:02
271,pimentel,-6.8367,-79.9342,28.16,69,20,4.63,PE,2023-04-01 15:49:02
272,voznesenye,61.0106,35.4781,-1.27,97,100,1.93,RU,2023-04-01 15:49:02
273,broome,42.2506,-75.833,19.27,59,0,8.23,US,2023-04-01 15:49:02
274,ambon,-3.6954,128.1814,25.08,94,40,4.12,ID,2023-04-01 15:49:03
275,qaqortoq,60.7167,-46.0333,-2.82,77,90,2.64,GL,2023-04-01 15:49:03
276,manakara,-22.1333,48.0167,25.07,81,83,2.25,MG,2023-04-01 15:49:03
277,srandakan,-7.9386,110.2506,25.05,86,100,2.67,ID,2023-04-01 15:49:04
278,san pietro vernotico,40.4853,17.9997,19.74,59,20,2.57,IT,2023-04-01 15:49:04
279,kutum,14.2,24.6667,27.4,10,48,5.34,SD,2023-04-01 15:49:04
280,encarnacion,-27.3333,-55.9,24.29,60,0,4.63,PY,2023-04-01 15:49:05
281,praia da vitoria,38.7333,-27.0667,20.14,73,20,7.8,PT,2023-04-01 15:49:06
282,finschhafen,-6.6024,147.8681,25.21,87,100,4.79,PG,2023-04-01 15:49:06
283,kununurra,-15.7667,128.7333,26.99,78,71,3.09,AU,2023-04-01 15:49:06
284,keti bandar,24.1447,67.4497,25.45,66,1,6.36,PK,2023-04-01 15:49:07
285,tombouctou,20.0,-3.0,35.84,4,0,3.57,ML,2023-04-01 15:49:07
286,dahuk,36.8695,42.994,6.12,63,97,1.67,IQ,2023-04-01 15:49:07
287,nizhniy lomov,53.5304,43.6766,6.75,77,100,4.48,RU,2023-04-01 15:49:08
288,tual,-5.6667,132.75,28.37,74,100,1.74,ID,2023-04-01 15:49:08
289,geraldton,-28.7667,114.6,21.23,83,75,3.6,AU,2023-04-01 15:46:04
290,tilichiki,60.4667,166.1,-10.51,98,97,1.07,RU,2023-04-01 15:49:08
291,rio grande city,26.3798,-98.8203,24.93,73,100,4.22,US,2023-04-01 15:49:08
292,abu dhabi,24.4667,54.3667,25.53,73,0,6.17,AE,2023-04-01 15:45:24
293,seoul,37.5683,126.9778,13.78,57,40,1.54,KR,2023-04-01 15:45:37
294,longyearbyen,78.2186,15.6401,-11.09,62,75,6.17,SJ,2023-04-01 15:49:09
295,galesong,-5.3166,119.3661,24.01,86,98,2.14,ID,2023-04-01 15:49:09
296,soligalich,59.0778,42.2864,1.59,98,100,2.42,RU,2023-04-01 15:49:09
297,hualmay,-11.0964,-77.6139,25.79,76,96,3.51,PE,2023-04-01 15:49:10
